Ingredient	red	orange	yellow	green_light	green_dark	purple	has_cat	egg_substitute	mayo_vegan	milk_substitute	cheese_substitute	sour_cream_substitute	yogurt_substitute	chicken_substitute	meat_substitute	sausage_substitute	mushrooms	yeast	grain_flour	wheat_flour	cornmeal	grains	wheat	oats	corn	rice	gluten	pasta	noodles	rice_noodles	artichoke	mustard	avocado	sesame_paste	seeds	nuts	almonds	coconut	peanuts	banana_blossom	olives	capers	sesame_oil	olive oil	margarine	oil	pesto	pepper_spice	curry	smoke	spices_misc	spices_warm	vanilla	coffee	chocolate	tea	legume_tuber_flour	bean_thread_noodles	okra	green_beans	pea_pods	tofu	miso	soybeans	beans	lentils	chickpeas	peas	mung_beans	tapioca	water_chestnuts	tubers	horseradish	ginger	fennel	carrots	beets	palm_hearts	bamboo	sweet_potatoes_yams	potatoes	garlic	leeks_green_onions	onions_shallots	sprouts	rhubarb	greens	spinach	chicory	lettuce	kale	broccoli	cauliflower	cabbage	asparagus	seaweed	clover_blossoms	vegetable_stock	herbs	celery	tomatoes	eggplants	bell_peppers	chili_pepper	cajun_spice	squashes_gourds	plantains_bananas	melons	cucumbers	dates	figs	raisins	cranberries	strawberries	berries_pomegranate	grapes	tropical_fruits	mangoes	pineapple	persimmons	peaches	plums_apricots	cherries	pears	apples	citrus	vinegar	soy_sauce	worcestershire_sauce	fruit_vinegar	cider	wine_vinegar	wine	beer	alcohol_liqueur	pectin_agar-agar	sugar	raw_sugar	maple_syrup	syrups	molasses	sugar
chocolate chips							TRUE																																																y																																																																																							
chocolate-covered raisins							FALSE																																																																																																																																							
chopped pimiento	y						TRUE																																																																																																y																																							
chopped tomato		y					TRUE																																																																																														y																																									
chopped tomatoes		y					TRUE																																																																																														y																																									
chunky peanut butter							TRUE																																y																																																																																																							
chunky salsa							FALSE																																																																																																																																							
chutney							FALSE																																																																																																																																							
cider							TRUE																																																																																																																												y											
cider vinegar							TRUE																																																																																																																											y												
cilantro							TRUE																																																																																												y																																											
cilantro leaf							TRUE																																																																																												y																																											
cilantro leaves							TRUE																																																																																												y																																											
cinnamon							TRUE																																													y																																																																																										
cinnamon bark							TRUE																																													y																																																																																										
cinnamon stick							TRUE																																													y																																																																																										
cinnamon sticks							TRUE																																													y																																																																																										
citrus juice							TRUE																																																																																																																							y																
clove							TRUE																																													y																																																																																										
cloves							TRUE																																													y																																																																																										
club soda							FALSE																																																																																																																																							
coarse grain mustard							TRUE																									y																																																																																																														
coarse salt							FALSE																																																																																																																																							
coarse sea salt							FALSE																																																																																																																																							
coco lopez							TRUE																															y																																																																																																								
cocoa							TRUE																																																y																																																																																							
cocoa powder							TRUE																																																y																																																																																							
coconut							TRUE																															y																																																																																																								
coconut cream							TRUE																															y																																																																																																								
coconut extract							FALSE																																																																																																																																							
coconut milk							TRUE			y																																																																																																																																				
coconut oil							TRUE																																							y																																																																																																
coffee							TRUE																																															y																																																																																								
cognac							TRUE																																																																																																																																y							
cold water							FALSE																																																																																																																																							
coleslaw mix							TRUE																																																																																							y																																																
collard greens					y		TRUE																																																																																			y																																																				
condensed tomato soup		y					TRUE																																																																																														y																																									
confectioners sugar							FALSE																																																																																																																																		y					y
cooked barley							TRUE															y																																																																																																																								
cooked basmati rice							TRUE																			y																																																																																																																				
cooked brown rice							TRUE																			y																																																																																																																				
cooked jasmine rice							TRUE																			y																																																																																																																				
cooked lentils							TRUE																																																											y																																																																												
cooked long-grain brown rice							TRUE																			y																																																																																																																				
cooked long-grain rice							TRUE																			y																																																																																																																				
cooked noodles							TRUE																						y																																																																																																																	
cooked pasta							TRUE																					y																																																																																																																		
cooked quinoa							TRUE															y																																																																																																																								
cooked rice							TRUE																			y																																																																																																																				
cooked spaghetti							TRUE																					y																																																																																																																		
cooked sushi rice							TRUE																			y																																																																																																																				
cooked white rice							TRUE																			y																																																																																																																				
cooked wild rice							TRUE																			y																																																																																																																				
cooked ziti							TRUE																					y																																																																																																																		
cooking apple							TRUE																																																																																																																						y																	
cooking apples							TRUE																																																																																																																						y																	
cooking oil							TRUE																																							y																																																																																																
cooking onion							TRUE																																																																													y																																																										
cooking sherry							TRUE																																																																																																																																y							
cooking spray							FALSE																																																																																																																																							
coriander							TRUE																																												y																																																																																											
coriander leaves							TRUE																																																																																												y																																											
coriander powder							TRUE																																												y																																																																																											
coriander seeds							TRUE																												y																																																																																																											
coriander sprigs							TRUE																																																																																												y																																											
corn			y				TRUE																		y																																																																																																																					
corn cobs			y				TRUE																		y																																																																																																																					
corn flakes							FALSE																																																																																																																																							
corn kernel			y				TRUE																		y																																																																																																																					
corn kernels			y				TRUE																		y																																																																																																																					
corn oil							TRUE																																							y																																																																																																
corn on the cob			y				TRUE																		y																																																																																																																					
corn syrup							FALSE																																																																																																																																					y		
corn tortilla							FALSE																																																																																																																																							
corn tortillas							FALSE																																																																																																																																							
cornbread batter							FALSE																																																																																																																																							
cornflour			y				TRUE														y																																																																																																																									
cornmeal			y				TRUE														y																																																																																																																									
cornstarch							FALSE																																																																																																																																							
cortland apples							TRUE																																																																																																																						y																	
cos lettuce					y		TRUE																																																																																			y																																																				
cottage roll							FALSE																																																																																																																																							
country-style dijon mustard							TRUE																									y																																																																																																														
courgettes				y			TRUE																																																																																																			y																																				
couscous							TRUE																y																																																																																																																							
cracked black pepper							TRUE																																									y																																																																																														
cracked farro							TRUE															y																																																																																																																								
cracked pepper							TRUE																																									y																																																																																														
cracked wheat							TRUE																y																																																																																																																							
cracker crumbs							FALSE																																																																																																																																							
craisins	y						TRUE																																																																																																										y																													
cranberries	y						TRUE																																																																																																										y																													
cranberry juice							TRUE																																																																																																										y																													
cream of tartar							FALSE																																																																																																																																							
creamed coconut							TRUE																															y																																																																																																								
creamed corn							TRUE																		y																																																																																																																					
creamy peanut butter							TRUE																																y																																																																																																							
cremini mushroom							TRUE										y																																																																																																																													
cremini mushrooms							TRUE										y																																																																																																																													
creole seasoning							TRUE																																																																																																		y																																					
crispy rice cereal							FALSE																																																																																																																																							
crookneck yellow squash			y				TRUE																																																																																																			y																																				
crouton							FALSE																																																																																																																																							
crunchy peanut butter							TRUE																																y																																																																																																							
crushed pineapple							TRUE																																																																																																																y																							
crushed pineapple in juice							TRUE																																																																																																																y																							
crushed red pepper flakes							TRUE																																																																																																	y																																						
crushed tomatoes	y						TRUE																																																																																														y																																									
crusty bread							FALSE																																																																																																																																							
crusty italian bread							FALSE																																																																																																																																							
crystal hot sauce							FALSE																																																																																																																																							
crystallized ginger							TRUE																																																																			y																																																																				
cucumber				y	y		TRUE																																																																																																						y																																	
cucumbers				y	y		TRUE																																																																																																						y																																	
cumin							TRUE																																												y																																																																																											
cumin powder							TRUE																																												y																																																																																											
cumin seeds							TRUE																												y																																																																																																											
currant jelly							TRUE																																																																																																												y																											
currants	y					y	TRUE																																																																																																												y																											
curry							TRUE																																										y																																																																																													
curry leaf							TRUE																																										y																																																																																													
curry leaves							TRUE																																										y																																																																																													
curry paste							TRUE																																										y																																																																																													
curry powder							TRUE																																										y																																																																																													
curry sauce mix							TRUE																																										y																																																																																													
cut green beans					y		TRUE																																																					y																																																																																		
cut wax beans			y				TRUE																																																					y																																																																																		
daikon radish							TRUE																																																																	y																																																																						
daikon sprouts							TRUE																																																																														y																																																									
dal							TRUE																																																										y	y	y	y	y																																																																									
dandelion greens					y		TRUE																																																																																y																																																							
dark beer							TRUE																																																																																																																															y								
dark brown sugar							FALSE																																																																																																																																			y				y
dark chocolate chips							TRUE																																																y																																																																																							
dark molasses							FALSE																																																																																																																																						y	
dark raisin							TRUE																																																																																																									y																														
dark raisins							TRUE																																																																																																									y																														
dark red kidney beans							TRUE																																																										y																																																																													
dark rye flour							TRUE												y																																																																																																																											
dark sesame oil							TRUE																																				y																																																																																																			
dark soy sauce							TRUE																																																																																																																									y														
date sugar							FALSE																																																																																																																																			y				y
dates							TRUE																																																																																																							y																																
decorator sugar							FALSE																																																																																																																																		y					y
deep dish pie shell							FALSE																																																																																																																																							
delicata squash		y					TRUE																																																																																																			y																																				
demerara sugar							FALSE																																																																																																																																			y				y
desiccated coconut							TRUE																															y																																																																																																								
diced fire-roasted tomatoes	y						TRUE																																																																																														y																																									
diced green chilies							TRUE																																																																																																	y																																						
diced onion							TRUE																																																																													y																																																										
diced onions							TRUE																																																																													y																																																										
diced pimentos	y						TRUE																																																																																																y																																							
diced tomato		y					TRUE																																																																																														y																																									
diced tomatoes		y					TRUE																																																																																														y																																									
diced tomatoes with green chilies		y					TRUE																																																																																														y			y																																						
diced tomatoes with jalapenos		y					TRUE																																																																																														y			y																																						
diced tomatoes with juice		y					TRUE																																																																																														y																																									
diced tomatoes with onion garlic and basil		y					TRUE																																																																											y		y															y		y																																									
diced tomatoes with seasonings		y					TRUE																																																																																														y																																									
dijon mustard							TRUE																									y																																																																																																														
dijon-style mustard							TRUE																									y																																																																																																														
dill							TRUE																																																																																												y																																											
dill pickle							FALSE																																																																																																																																							
dill pickles							FALSE																																																																																																																																							
dill seed							TRUE																												y																																																																																																											
dill seeds							TRUE																												y																																																																																																											
dill weed							TRUE																																																																																												y																																											
distilled water							FALSE																																																																																																																																							
distilled white vinegar							TRUE																																																																																																																								y															
ditalini							TRUE																					y																																																																																																																		
double-acting baking powder							FALSE																																																																																																																																							
dried ancho chile							TRUE																																																																																																	y																																						
dried ancho chile powder							TRUE																																																																																																	y																																						
dried apple							TRUE																																																																																																																						y																	
dried apples							TRUE																																																																																																																						y																	
dried apricot							TRUE																																																																																																																			y																				
dried apricots							TRUE																																																																																																																			y																				
dried arbol chile							TRUE																																																																																																	y																																						
dried arbol chiles							TRUE																																																																																																	y																																						
dried baby lima beans							TRUE																																																										y																																																																													
dried basil							TRUE																																																																																												y																																											
dried basil leaves							TRUE																																																																																												y																																											
dried bay leaf							TRUE																																																																																												y																																											
dried bay leaves							TRUE																																																																																												y																																											
dried beans							TRUE																																																										y																																																																													
dried black beans							TRUE																																																										y																																																																													
dried black-eyed peas							TRUE																																																										y																																																																													
dried blueberries							TRUE																																																																																																												y																											
dried breadcrumbs							FALSE																																																																																																																																							
dried brown lentils							TRUE																																																											y																																																																												
dried cayenne pepper							TRUE																																																																																																	y																																						
dried celery flakes							TRUE																																																																																													y																																										
dried cherries	y						TRUE																																																																																																																				y																			
dried chili							TRUE																																																																																																	y																																						
dried chili pepper flakes							TRUE																																																																																																	y																																						
dried chilies							TRUE																																																																																																	y																																						
dried chinese mushrooms							TRUE										y																																																																																																																													
dried chipotle chile							TRUE																																																																																																	y																																						
dried chipotle chiles							TRUE																																																																																																	y																																						
dried chipotle powder							TRUE																																																																																																	y																																						
dried chives							TRUE																																																																																												y																																											
dried cilantro							TRUE																																																																																												y																																											
dried coriander							TRUE																																												y																																																																																											
dried cranberries	y						TRUE																																																																																																										y																													
dried currant							TRUE																																																																																																												y																											
dried currants							TRUE																																																																																																												y																											
dried curry leaves							TRUE																																										y																																																																																													
dried dates							TRUE																																																																																																							y																																
dried dill							TRUE																																																																																												y																																											
dried dill weed							TRUE																																																																																												y																																											
dried fava beans							TRUE																																																										y																																																																													
dried fennel seed							TRUE																												y																																																																																																											
dried figs							TRUE																																																																																																								y																															
dried fruit							FALSE																																																																																																																																							
dried fruits							FALSE																																																																																																																																							
dried garbanzo beans							TRUE																																																												y																																																																											
dried garlic							TRUE																																																																											y																																																												
dried great northern beans							TRUE																																																										y																																																																													
dried guajillo chilies							TRUE																																																																																																	y																																						
dried herbs							TRUE																																																																																												y																																											
dried hijiki seaweed							TRUE																																																																																									y																																														
dried hot chili peppers							TRUE																																																																																																	y																																						
dried hot pepper							TRUE																																																																																																	y																																						
dried hot peppers							TRUE																																																																																																	y																																						
dried hot red chiles							TRUE																																																																																																	y																																						
dried hot red chili pepper							TRUE																																																																																																	y																																						
dried italian herb seasoning							TRUE																																																																																												y																																											
dried italian seasoning							TRUE																																																																																												y																																											
dried kasha							TRUE															y																																																																																																																								
dried kidney beans							TRUE																																																										y																																																																													
dried large lima beans							TRUE																																																										y																																																																													
dried leaf thyme							TRUE																																																																																												y																																											
dried lemon peel							TRUE																																																																																																																							y																
dried lemongrass							TRUE																																																																																												y																																											
dried lentils							TRUE																																																											y																																																																												
dried mango			y				TRUE																																																																																																															y																								
dried marjoram							TRUE																																																																																												y																																											
dried mediterranean oregano							TRUE																																																																																												y																																											
dried mexican oregano							TRUE																																																																																												y																																											
dried mint							TRUE																																																																																												y																																											
dried mint flakes							TRUE																																																																																												y																																											
dried mixed fruit							FALSE																																																																																																																																							
dried mushrooms							TRUE										y																																																																																																																													
dried mustard							TRUE																									y																																																																																																														
dried navy beans							TRUE																																																										y																																																																													
dried new mexico chiles							TRUE																																																																																																	y																																						
dried onion							TRUE																																																																													y																																																										
dried onion flakes							TRUE																																																																													y																																																										
dried oregano							TRUE																																																																																												y																																											
dried oregano leaves							TRUE																																																																																												y																																											
dried papaya		y					TRUE																																																																																																														y																									
dried parsley							TRUE																																																																																												y																																											
dried parsley flakes							TRUE																																																																																												y																																											
dried pinto bean							TRUE																																																										y																																																																													
dried pinto beans							TRUE																																																										y																																																																													
dried plums							TRUE																																																																																																																			y																				
dried porcini mushrooms							TRUE										y																																																																																																																													
dried red beans							TRUE																																																										y																																																																													
dried red chili							TRUE																																																																																																	y																																						
dried red chili peppers							TRUE																																																																																																	y																																						
dried red chilies							TRUE																																																																																																	y																																						
dried red kidney beans							TRUE																																																										y																																																																													
dried red lentils							TRUE																																																											y																																																																												
dried red pepper							TRUE																																																																																																	y																																						
dried red pepper flakes							TRUE																																																																																																	y																																						
dried rice noodles							TRUE																							y																																																																																																																
dried rosemary							TRUE																																																																																												y																																											
dried rosemary leaves							TRUE																																																																																												y																																											
dried rubbed sage							TRUE																																																																																												y																																											
dried sage							TRUE																																																																																												y																																											
dried savory							TRUE																																																																																												y																																											
dried shiitake mushroom							TRUE										y																																																																																																																													
